id,Country,health_gold,health_silver,health_bronze,edu_gold,edu_silver,edu_bronze,ImpWater_gold,ImpWater_silver,ImpWater_bronze,Pop_gold,Pop_silver,Pop_bronze,GDP_gold,GDP_silver,GDP_bronze,Income_gold,Income_silver,Income_bronze,Debt_gold,Debt_silver,Debt_bronze,Continent_gold,Continent_silver,Continent_bronze,
HND,Honduras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.93%,15.13%,16.01%,
HUN,Hungary,9.12125,18.2425,14.594,12.375,24.75,19.8,68.75,137.5,110,1250000,2500000,2000000,17.503625,35.00725,28.0058,84.625,169.25,135.4,15.41125,30.8225,24.658,44.85%,50.00%,48.60%,
ISL,Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.85%,50.00%,48.60%,
IDN,Indonesia,0,70.13,70.13,0,77,77,0,8632,8632,0,239870000,239870000,0,846.832,846.832,0,9155,9155,0,43.84,43.84,4.65%,6.25%,5.06%,
IRN,Iran (Islamic Republic of),N/A,0,0,23.5,18.8,31.3333333333,75.5,60.4,100.6666666667,18493250,14794600,24657666.6666667,96.6675,77.334,128.89,80.5,64.4,107.3333333333,17.8075,14.246,23.7433333333,25.25%,20.39%,20.22%,
IRQ,Iraq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,25.25%,20.39%,20.22%,
IRL,Ireland,78.61,78.61,26.2033333333,N/A,N/A,N/A,84,84,28,4475000,4475000,1491666.66666667,217.275,217.275,72.425,54,54,18,115.07,115.07,38.3566666667,44.85%,50.00%,48.60%,
ISR,Israel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.25%,20.39%,20.22%,
ITA,Italy,10.1075,8.9844444444,7.3509090909,N/A,N/A,N/A,850.5,756,618.5454545455,7560375,6720333.33333333,5498454.54545455,274.34375,243.8611111111,199.5227272727,1033.375,918.5555555556,751.5454545455,10.61625,9.4366666667,7.7209090909,44.85%,50.00%,48.60%,
JAM,Jamaica,18.11,18.11,18.11,23.25,23.25,23.25,11,11,11,675500,675500,675500,3.7674418605,3.7674418605,3.7674418605,11.75,11.75,11.75,36.9875,36.9875,36.9875,19.93%,15.13%,16.01%,
JPN,Japan,11.7528571429,5.8764285714,4.8394117647,14.2857142857,7.1428571429,5.8823529412,3602,1801,1483.1764705882,18207285.7142857,9103642.85714286,7497117.64705882,838.1642857143,419.0821428571,345.1264705882,3895.8571428572,1947.9285714286,1604.1764705882,10.9585714286,5.4792857143,4.5123529412,25.25%,20.39%,20.22%,
JOR,Jordan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.25%,20.39%,20.22%,
KAZ,Kazakhstan,9.4957142857,66.47,13.294,12.2857142857,86,17.2,111,777,155.4,2331857.14285714,16323000,3264600,26.5997142857,186.198,37.2396,114.7142857143,803,160.6,10.1757142857,71.23,14.246,25.25%,20.39%,20.22%,
KEN,Kenya,26.665,13.3325,10.666,30.5,15.25,12.2,406.5,203.25,162.6,20256500,10128250,8102600,16.810342008,8.405171004,6.7241368032,413.5,206.75,165.4,27.4,13.7,10.96,3.65%,3.95%,3.09%,
PRK,Korea,2,17.075,0,34.15,N/A,N/A,N/A,617,0,1234,6147280.5,0,12294561,3.07,0,6.14,814,0,1628,3978,0,7956,25.25%,20.39%,20.22%
